state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
South Carolina,45051,2020-03-01 to 2020-03-07,0.0071174377224199,No,69.5304852758166,0.0,0.909090909090909,5.0372654844513,0.733788395904437,69.62,281,2,237.5,1,0,354081
New York,36061,2020-03-01 to 2020-03-07,0.0090744101633393,No,10.2599857942664,0.0,0.909090909090909,2.37280393146461,0.733788395904437,100.0,5510,50,69468.4,1,0,1628706
Minnesota,27053,2020-03-01 to 2020-03-07,0.0052790346907994,No,30.8779794252002,0.0,0.909090909090909,2.54960528280363,0.733788395904437,97.78,1326,7,2081.7,1,0,1265843
Arkansas,5007,2020-03-01 to 2020-03-07,0.0,No,68.5329121777642,0.0,0.909090909090909,4.08897295631957,0.733788395904437,74.84,113,0,261.2,1,0,279141
Louisiana,22073,2020-03-01 to 2020-03-07,0.0,No,63.0738522954121,0.0,0.909090909090909,5.49129365405568,0.733788395904437,75.81,92,0,251.8,1,0,153279
Illinois,17119,2020-03-01 to 2020-03-07,0.0,No,58.2727491274946,0.0,0.909090909090909,4.38801974399732,0.733788395904437,86.66,110,0,376.3,1,0,262966
California,6089,2020-03-01 to 2020-03-07,0.0,No,69.921243645108,0.0,0.909090909090909,3.21135051088405,0.733788395904437,70.71,45,0,46.9,1,0,180080
North Carolina,37081,2020-03-01 to 2020-03-07,0.0,No,39.7135406055153,0.0,0.909090909090909,3.47429324576394,0.733788395904437,87.31,510,0,756.4,1,0,537174
Indiana,18137,2020-03-01 to 2020-03-07,0.0,No,79.8729331269526,0.0,0.909090909090909,1.54639175257732,0.733788395904437,16.76,4,0,64.6,1,0,28324
South Dakota,46011,2020-03-01 to 2020-03-07,0.0,No,58.0373269114625,0.0,0.909090909090909,2.28639849474014,0.733788395904437,70.33,48,0,40.3,1,0,35077
Indiana,18097,2020-03-01 to 2020-03-07,0.0035435861091424,No,37.9779763432175,0.0,0.909090909090909,2.97579676999985,0.733788395904437,99.4,1411,5,2279.6,1,0,964582
California,6069,2020-03-01 to 2020-03-07,0.0,No,39.1683312148505,0.0,0.909090909090909,1.56031078843459,0.733788395904437,76.0,26,0,39.8,1,0,62808
Georgia,13127,2020-03-01 to 2020-03-07,0.0,No,64.6658639373617,0.0,0.909090909090909,5.47765323828729,0.733788395904437,79.43,56,0,189.7,1,0,85292
